Region,Subregion,Retailer,Suma de Stores
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Dublin,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Mid East,Lidl,1
Eastern & Midland,Midland,Lidl,1
Eastern & Midland,Midland,Lidl,1
Eastern & Midland,Midland,Lidl,1
Eastern & Midland,Midland,Lidl,1
Eastern & Midland,Midland,Lidl,1
Eastern & Midland,Midland,Lidl,1
Eastern & Midland,Midland,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,Border,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Northern & Western,West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,Mid West,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South East,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
Southern,South West,Lidl,1
