Housing_or_CommNotices,County,Region,Subregion,Year,Value
All households,Westmeath,Eastern & Midland,Midland,2020,38912
All households,Wexford,Southern,South East,2020,72688
All households,Wicklow,Eastern & Midland,Mid East,2020,58263
All households,Mayo,Northern & Western,West,2021,69414
All households,Carlow,Southern,South East,2021,24844
All households,Cavan,Northern & Western,Border,2021,34933
All households,Clare,Southern,Mid West,2021,58915
All households,Cork,Southern,South West,2021,71297
All households,Donegal,Northern & Western,Border,2021,87478
All households,Dublin,Eastern & Midland,Dublin,2021,631766
All households,Galway,Northern & Western,West,2021,41333
All households,Kerry,Southern,South West,2021,77753
All households,Kildare,Eastern & Midland,Mid East,2021,89575
All households,Kilkenny,Southern,South East,2021,41929
All households,Laois,Eastern & Midland,Midland,2021,35129
All households,Leitrim,Northern & Western,Border,2021,18417
All households,Limerick,Southern,Mid West,2021,86016
All households,Longford,Eastern & Midland,Midland,2021,19412
All households,Louth,Eastern & Midland,Mid East,2021,56284
All households,Meath,Eastern & Midland,Mid East,2021,80319
All households,Monaghan,Northern & Western,Border,2021,27400
All households,Offaly,Eastern & Midland,Midland,2021,32496
All households,Roscommon,Northern & Western,West,2021,32659
All households,Sligo,Northern & Western,Border,2021,33948
All households,State,State,State,2021,2137109
All households,Tipperary,Southern,Mid West,2021,71416
All households,Waterford,Southern,South East,2021,55491
All households,Westmeath,Eastern & Midland,Midland,2021,38950
All households,Wexford,Southern,South East,2021,72776
All households,Wicklow,Eastern & Midland,Mid East,2021,58270
Commencement Notices,Mayo,Northern & Western,West,2016,574
Commencement Notices,Carlow,Southern,South East,2016,198
Commencement Notices,Cavan,Northern & Western,Border,2016,281
Commencement Notices,Clare,Southern,Mid West,2016,500
Commencement Notices,Cork,Southern,South West,2016,2768
Commencement Notices,Donegal,Northern & Western,Border,2016,750
Commencement Notices,Dublin,Eastern & Midland,Dublin,2016,6490
Commencement Notices,Galway,Northern & Western,West,2016,1033
Commencement Notices,Kerry,Southern,South West,2016,585
Commencement Notices,Kildare,Eastern & Midland,Mid East,2016,1387
Commencement Notices,Kilkenny,Southern,South East,2016,445
Commencement Notices,Laois,Eastern & Midland,Midland,2016,391
Commencement Notices,Leitrim,Northern & Western,Border,2016,54
Commencement Notices,Limerick,Southern,Mid West,2016,735
Commencement Notices,Longford,Eastern & Midland,Midland,2016,129
Commencement Notices,Louth,Eastern & Midland,Mid East,2016,597
Commencement Notices,Meath,Eastern & Midland,Mid East,2016,1664
Commencement Notices,Monaghan,Northern & Western,Border,2016,278
Commencement Notices,Offaly,Eastern & Midland,Midland,2016,287
Commencement Notices,Roscommon,Northern & Western,West,2016,215
Commencement Notices,Sligo,Northern & Western,Border,2016,224
Commencement Notices,Tipperary,Southern,Mid West,2016,384
Commencement Notices,Waterford,Southern,South East,2016,473
Commencement Notices,Westmeath,Eastern & Midland,Midland,2016,216
Commencement Notices,Wexford,Southern,South East,2016,652
Commencement Notices,Wicklow,Eastern & Midland,Mid East,2016,780
Commencement Notices,Mayo,Northern & Western,West,2017,823
Commencement Notices,Carlow,Southern,South East,2017,371
Commencement Notices,Cavan,Northern & Western,Border,2017,287
Commencement Notices,Clare,Southern,Mid West,2017,563
Commencement Notices,Cork,Southern,South West,2017,3265
Commencement Notices,Donegal,Northern & Western,Border,2017,797
Commencement Notices,Dublin,Eastern & Midland,Dublin,2017,8148
Commencement Notices,Galway,Northern & Western,West,2017,1465
Commencement Notices,Kerry,Southern,South West,2017,769
Commencement Notices,Kildare,Eastern & Midland,Mid East,2017,1890
Commencement Notices,Kilkenny,Southern,South East,2017,505
Commencement Notices,Laois,Eastern & Midland,Midland,2017,439
Commencement Notices,Leitrim,Northern & Western,Border,2017,87
Commencement Notices,Limerick,Southern,Mid West,2017,819
Commencement Notices,Longford,Eastern & Midland,Midland,2017,146
Commencement Notices,Louth,Eastern & Midland,Mid East,2017,1018
Commencement Notices,Meath,Eastern & Midland,Mid East,2017,2390
Commencement Notices,Monaghan,Northern & Western,Border,2017,400
Commencement Notices,Offaly,Eastern & Midland,Midland,2017,291
Commencement Notices,Roscommon,Northern & Western,West,2017,294
Commencement Notices,Sligo,Northern & Western,Border,2017,283
Commencement Notices,Tipperary,Southern,Mid West,2017,465
Commencement Notices,Waterford,Southern,South East,2017,524
Commencement Notices,Westmeath,Eastern & Midland,Midland,2017,391
Commencement Notices,Wexford,Southern,South East,2017,987
Commencement Notices,Wicklow,Eastern & Midland,Mid East,2017,890
Commencement Notices,Mayo,Northern & Western,West,2018,855
Commencement Notices,Carlow,Southern,South East,2018,356
Commencement Notices,Cavan,Northern & Western,Border,2018,312
Commencement Notices,Clare,Southern,Mid West,2018,801
Commencement Notices,Cork,Southern,South West,2018,3734
Commencement Notices,Donegal,Northern & Western,Border,2018,788
Commencement Notices,Dublin,Eastern & Midland,Dublin,2018,9087
Commencement Notices,Galway,Northern & Western,West,2018,1811
Commencement Notices,Kerry,Southern,South West,2018,994
Commencement Notices,Kildare,Eastern & Midland,Mid East,2018,2267
Commencement Notices,Kilkenny,Southern,South East,2018,717
Commencement Notices,Laois,Eastern & Midland,Midland,2018,597
Commencement Notices,Leitrim,Northern & Western,Border,2018,51
Commencement Notices,Limerick,Southern,Mid West,2018,1028
Commencement Notices,Longford,Eastern & Midland,Midland,2018,187
Commencement Notices,Louth,Eastern & Midland,Mid East,2018,1352
Commencement Notices,Meath,Eastern & Midland,Mid East,2018,2657
Commencement Notices,Monaghan,Northern & Western,Border,2018,593
Commencement Notices,Offaly,Eastern & Midland,Midland,2018,381
Commencement Notices,Roscommon,Northern & Western,West,2018,301
Commencement Notices,Sligo,Northern & Western,Border,2018,340
